climber,ascent_date,suggested_grade,route,official_grade,parsed_dates,climbing_style,weight,date,year,official_grade_consistent
James Pearson,5th Sep 2006,,Keen Roof,8a+,05-09-2006,Boulder,worked,2006-05-09,2006.0,8a+
Dave Nodden,May 2009,,Keen Roof,8a+,19-05-2009,Boulder,worked,2009-05-19,2009.0,8a+
Ignacio Sánchez González,4th May 2009,,Keen Roof,8a+,04-05-2009,Boulder,worked,2009-04-05,2009.0,8a+
Rupert Davies,8th May 2010,,Keen Roof,8a+,08-05-2010,Boulder,worked,2010-08-05,2010.0,8a+
Dawid Skoczylas,11th Sep 2010,,Keen Roof,8a+,11-09-2010,Boulder,worked,2010-11-09,2010.0,8a+
Mike Adams,19th Sep 2010,,Keen Roof,8a+,19-09-2010,Boulder,worked,2010-09-19,2010.0,8a+
Tim Palmer,23rd Oct 2010,,Keen Roof,8a+,23-10-2010,Boulder,worked,2010-10-23,2010.0,8a+
Leo Moger,1st Jun 2011,,Keen Roof,8a+,01-06-2011,Boulder,worked,2011-01-06,2011.0,8a+
Ed Hamer,2012,,Keen Roof,8a+,19-11-2012,Boulder,worked,2012-11-19,2012.0,8a+
Phil Rose,4th Aug 2012,,Keen Roof,8a+,04-08-2012,Boulder,worked,2012-04-08,2012.0,8a+
Tom Newberry,16th Aug 2012,,Keen Roof,8a+,16-08-2012,Boulder,worked,2012-08-16,2012.0,8a+
Ethan Walker,25th Mar 2013,,Keen Roof,8a+,25-03-2013,Boulder,worked,2013-03-25,2013.0,8a+
Tom Newman,13th Aug 2013,,Keen Roof,8a+,13-08-2013,Boulder,worked,2013-08-13,2013.0,8a+
Dom Bridgwood,28th Jul 2015,,Keen Roof,8a+,28-07-2015,Boulder,worked,2015-07-28,2015.0,8a+
Alex Barrows,26th Sep 2015,,Keen Roof,8a+,26-09-2015,Boulder,worked,2015-09-26,2015.0,8a+
Haydn Jones,29th Feb 2016,,Keen Roof,8a+,29-02-2016,Boulder,worked,2016-02-29,2016.0,8a+
Ash Wolsey-Heard,11th Apr 2016,,Keen Roof,8a+,11-04-2016,Boulder,worked,2016-11-04,2016.0,8a+
Luke Dawson,23rd May 2016,,Keen Roof,8a+,23-05-2016,Boulder,worked,2016-05-23,2016.0,8a+
Pete Dawson,23rd Mar 2017,,Keen Roof,8a+,23-03-2017,Boulder,worked,2017-03-23,2017.0,8a+
James Noble,12th Dec 2017,,Keen Roof,8a+,12-12-2017,Boulder,worked,2017-12-12,2017.0,8a+
Andy Burgess,2018,,Keen Roof,8a+,19-11-2018,Boulder,worked,2018-11-19,2018.0,8a+
Will Smith,2018,,Keen Roof,8a+,19-11-2018,Boulder,worked,2018-11-19,2018.0,8a+
Frances Bensley,14th Apr 2019,,Keen Roof,8a+,14-04-2019,Boulder,worked,2019-04-14,2019.0,8a+
Henry Henderson,1st Sep 2020,,Keen Roof,8a+,01-09-2020,Boulder,worked,2020-01-09,2020.0,8a+
George Newham,4th Oct 2020,,Keen Roof,8a+,04-10-2020,Boulder,worked,2020-04-10,2020.0,8a+
Andy Jackson,7th Oct 2020,,Keen Roof,8a+,07-10-2020,Boulder,worked,2020-07-10,2020.0,8a+
Billy Ridal,16th Oct 2020,,Keen Roof,8a+,16-10-2020,Boulder,worked,2020-10-16,2020.0,8a+
Joe Lawson,15th Nov 2020,,Keen Roof,8a+,15-11-2020,Boulder,worked,2020-11-15,2020.0,8a+
Rhys Langlands,6th Apr 2021,,Keen Roof,8a+,06-04-2021,Boulder,worked,2021-06-04,2021.0,8a+
Molly Thompson-Smith,22nd Apr 2021,,Keen Roof,8a+,22-04-2021,Boulder,worked,2021-04-22,2021.0,8a+
Buster Martin,19th Jul 2021,,Keen Roof,8a+,19-07-2021,Boulder,worked,2021-07-19,2021.0,8a+
Will Bosi,19th Nov 2021,,Keen Roof,8a+,19-11-2021,Boulder,worked,2021-11-19,2021.0,8a+
Jack Palmieri,22nd Dec 2021,,Keen Roof,8a+,22-12-2021,Boulder,worked,2021-12-22,2021.0,8a+
Leon Joyce,22nd Oct 2022,,Keen Roof,8a+,22-10-2022,Boulder,worked,2022-10-22,2022.0,8a+
Leven Rowan,12th Nov 2022,,Keen Roof,8a+,12-11-2022,Boulder,worked,2022-12-11,2022.0,8a+
Dave MacLeod,Dec 2022,,Keen Roof,8a+,19-12-2022,Boulder,worked,2022-12-19,2022.0,8a+
Dave Parry,13th Sep 2023,8A+ (hard),Keen Roof,8a+,13-09-2023,Boulder,worked,2023-09-13,2023.0,8a+
Jerry Moffatt,2001,,The Ace,8b,19-11-2001,Boulder,worked,2001-11-19,2001.0,8b
Ben Moon,2005,,The Ace,8b,19-11-2005,Boulder,worked,2005-11-19,2005.0,8b
Malcolm Smith,2005,,The Ace,8b,19-11-2005,Boulder,worked,2005-11-19,2005.0,8b
Tyler Landman,Mar 2006,,The Ace,8b,19-03-2006,Boulder,worked,2006-03-19,2006.0,8b
Andy Earl,29th Nov 2006,,The Ace,8b,29-11-2006,Boulder,worked,2006-11-29,2006.0,8b
Michele Caminati,12th Mar 2011,,The Ace,8b,12-03-2011,Boulder,worked,2011-12-03,2011.0,8b
Stewart Watson,Dec 2011,,The Ace,8b,19-12-2011,Boulder,worked,2011-12-19,2011.0,8b
Tom Newman,Oct 2012,,The Ace,8b,19-10-2012,Boulder,worked,2012-10-19,2012.0,8b
James Thornton,2015,,The Ace,8b,19-11-2015,Boulder,worked,2015-11-19,2015.0,8b
Dave Mason,2nd Feb 2015,,The Ace,8b,02-02-2015,Boulder,worked,2015-02-02,2015.0,8b
James Squire,11th Oct 2015,,The Ace,8b,11-10-2015,Boulder,worked,2015-11-10,2015.0,8b
Hamish Potokar,4th Dec 2015,,The Ace,8b,04-12-2015,Boulder,worked,2015-04-12,2015.0,8b
Jan Hojer,Mar 2016,,The Ace,8b,19-03-2016,Boulder,worked,2016-03-19,2016.0,8b
David Fitzgerald,25th Mar 2017,,The Ace,8b,25-03-2017,Boulder,worked,2017-03-25,2017.0,8b
Orrin Coley,26th Jan 2018,,The Ace,8b,26-01-2018,Boulder,worked,2018-01-26,2018.0,8b
Cailean Harker,24th Feb 2018,,The Ace,8b,24-02-2018,Boulder,worked,2018-02-24,2018.0,8b
Sam Blackwell,7th Nov 2020,,The Ace,8b,07-11-2020,Boulder,worked,2020-07-11,2020.0,8b
Matt Cousins,26th Nov 2020,,The Ace,8b,26-11-2020,Boulder,worked,2020-11-26,2020.0,8b
Aidan Roberts,2021,,The Ace,8b,19-11-2021,Boulder,worked,2021-11-19,2021.0,8b
James Pearson,15th Dec 2021,,The Ace,8b,15-12-2021,Boulder,worked,2021-12-15,2021.0,8b
Alex Waterhouse,Oct 2022,,The Ace,8b,19-10-2022,Boulder,worked,2022-10-19,2022.0,8b
Kieran Forrest,Nov 2022,,The Ace,8b,19-11-2022,Boulder,worked,2022-11-19,2022.0,8b
Sam Prior,30th Nov 2022,,The Ace,8b,30-11-2022,Boulder,worked,2022-11-30,2022.0,8b
Adam Ondra,22nd Jan 2023,,The Ace,8b,22-01-2023,Boulder,flash,2023-01-22,2023.0,8b
Jake Mason,Feb 2023,,The Ace,8b,19-02-2023,Boulder,worked,2023-02-19,2023.0,8b
Nathan Phillips,2nd Apr 2023,,The Ace,8b,02-04-2023,Boulder,worked,2023-02-04,2023.0,8b
Leon Joyce,25th Oct 2023,,The Ace,8b,25-10-2023,Boulder,worked,2023-10-25,2023.0,8b
Alex Moore,29th Nov 2023,,The Ace,8b,29-11-2023,Boulder,worked,2023-11-29,2023.0,8b
Luca Martins,29th Dec 2023,,The Ace,8b,29-12-2023,Boulder,worked,2023-12-29,2023.0,8b
Tim Blake,15th Jan 2024,,The Ace,8b,15-01-2024,Boulder,worked,2024-01-15,2024.0,8b
Hayato Furusugi,12th Apr 2024,,The Ace,8b,12-04-2024,Boulder,worked,2024-12-04,2024.0,8b
Billy Ridal,31st May 2024,,The Ace,8b,31-05-2024,Boulder,worked,2024-05-31,2024.0,8b
Max Milne,31st May 2024,,The Ace,8b,31-05-2024,Boulder,flash,2024-05-31,2024.0,8b
Tom Williams,,,The Ace,8b,,Boulder,worked,,,8b
Ryan Pasquill,,,The Ace,8b,,Boulder,worked,,,8b
Mark Leach,1989,,Bat Route,8c,19-11-1989,Lead,worked,1989-11-19,1989.0,8c
Tony Mitchell,Before 1st Jan 1991,,Bat Route,8c,,Lead,worked,,,8c
Neil Mawson,Sep 2010,,Bat Route,8c,19-09-2010,Lead,worked,2010-09-19,2010.0,8c
Adam Ondra,16th May 2011,,Bat Route,8c,16-05-2011,Lead,onsight,2011-05-16,2011.0,8c
Stuart Littlefair,2nd Oct 2011,,Bat Route,8c,02-10-2011,Lead,worked,2011-02-10,2011.0,8c
James McHaffie,6th Apr 2012,,Bat Route,8c,06-04-2012,Lead,worked,2012-06-04,2012.0,8c
Jon Freeman,14th May 2013,,Bat Route,8c,14-05-2013,Lead,worked,2013-05-14,2013.0,8c
Buster Martin,2nd Jul 2013,,Bat Route,8c,02-07-2013,Lead,worked,2013-02-07,2013.0,8c
Ted Kingsnorth,17th May 2014,8b+,Bat Route,8c,17-05-2014,Lead,worked,2014-05-17,2014.0,8c
Alex Megos,Jun 2014,,Bat Route,8c,19-06-2014,Lead,worked,2014-06-19,2014.0,8c
Adam Jeeworth,5th Jun 2014,,Bat Route,8c,05-06-2014,Lead,worked,2014-05-06,2014.0,8c
Mina Leslie-Wujastyk,29th May 2015,,Bat Route,8c,29-05-2015,Lead,worked,2015-05-29,2015.0,8c
James Turnbull,18th Sep 2016,,Bat Route,8c,18-09-2016,Lead,worked,2016-09-18,2016.0,8c
Pete Dawson,2nd Oct 2016,,Bat Route,8c,02-10-2016,Lead,worked,2016-02-10,2016.0,8c
Nic Duboust,15th Oct 2016,,Bat Route,8c,15-10-2016,Lead,worked,2016-10-15,2016.0,8c
Maddy Cope,29th Apr 2017,,Bat Route,8c,29-04-2017,Lead,worked,2017-04-29,2017.0,8c
Sam Williams,2019,,Bat Route,8c,19-11-2019,Lead,worked,2019-11-19,2019.0,8c
Matt Cooke,9th May 2019,,Bat Route,8c,09-05-2019,Lead,worked,2019-09-05,2019.0,8c
Jerome Mowat,9th Sep 2019,,Bat Route,8c,09-09-2019,Lead,worked,2019-09-09,2019.0,8c
Jim Hulbert,18th Sep 2019,,Bat Route,8c,18-09-2019,Lead,worked,2019-09-18,2019.0,8c
James Ibbertson,2nd Dec 2020,,Bat Route,8c,02-12-2020,Lead,worked,2020-02-12,2020.0,8c
Toby Roberts,11th Sep 2021,,Bat Route,8c,11-09-2021,Lead,worked,2021-11-09,2021.0,8c
Tom Frost,19th Sep 2021,,Bat Route,8c,19-09-2021,Lead,worked,2021-09-19,2021.0,8c
Mathew Wright,23rd Sep 2021,,Bat Route,8c,23-09-2021,Lead,worked,2021-09-23,2021.0,8c
Rhoslyn Frugtniet,21st May 2022,,Bat Route,8c,21-05-2022,Lead,worked,2022-05-21,2022.0,8c
Tom Newberry,22nd May 2022,,Bat Route,8c,22-05-2022,Lead,worked,2022-05-22,2022.0,8c
Louis Lancaster,28th Sep 2022,,Bat Route,8c,28-09-2022,Lead,worked,2022-09-28,2022.0,8c
Anna Wild,25th Sep 2024,,Bat Route,8c,25-09-2024,Lead,worked,2024-09-25,2024.0,8c
Sam Whittaker,,,Bat Route,8c,,Lead,worked,,,8c
Rob Napier,,,Bat Route,8c,,Lead,worked,,,8c
Charlie Woodburn,,,Bat Route,8c,,Lead,worked,,,8c
Adam Harrison,,,Bat Route,8c,,Lead,worked,,,8c
Will Kelsall,,,Bat Route,8c,,Lead,worked,,,8c
Bernd Zangerl,Nov 2002,,New Base Line,8b+,19-11-2002,Boulder,worked,2002-11-19,2002.0,8b+
Fred Nicole,Mar 2003,,New Base Line,8b+,19-03-2003,Boulder,worked,2003-03-19,2003.0,8b+
Christian Core,2006,,New Base Line,8b+,19-11-2006,Boulder,worked,2006-11-19,2006.0,8b+
Paul Robinson,24th Sep 2008,,New Base Line,8b+,24-09-2008,Boulder,worked,2008-09-24,2008.0,8b+
Dave MacLeod,Apr 2012,,New Base Line,8b+,19-04-2012,Boulder,worked,2012-04-19,2012.0,8b+
Fabian Buhl,30th Apr 2012,,New Base Line,8b+,30-04-2012,Boulder,worked,2012-04-30,2012.0,8b+
Carlo Traversi,13th Oct 2012,,New Base Line,8b+,13-10-2012,Boulder,worked,2012-10-13,2012.0,8b+
Jimmy Webb,31st Mar 2014,,New Base Line,8b+,31-03-2014,Boulder,worked,2014-03-31,2014.0,8b+
Shauna Coxsey,Jul 2014,,New Base Line,8b+,19-07-2014,Boulder,worked,2014-07-19,2014.0,8b+
Anna Stöhr,2017,,New Base Line,8b+,19-11-2017,Boulder,worked,2017-11-19,2017.0,8b+
Mark Heal,17th Apr 2017,,New Base Line,8b+,17-04-2017,Boulder,worked,2017-04-17,2017.0,8b+
Alex Puccio,5th Sep 2017,,New Base Line,8b+,05-09-2017,Boulder,worked,2017-05-09,2017.0,8b+
David Fitzgerald,28th Jun 2018,,New Base Line,8b+,28-06-2018,Boulder,worked,2018-06-28,2018.0,8b+
Mirit Heyden,16th Sep 2018,,New Base Line,8b+,16-09-2018,Boulder,worked,2018-09-16,2018.0,8b+
Nathan Phillips,12th Jun 2019,,New Base Line,8b+,12-06-2019,Boulder,worked,2019-12-06,2019.0,8b+
Alex Waterhouse,20th Jul 2019,,New Base Line,8b+,20-07-2019,Boulder,worked,2019-07-20,2019.0,8b+
Linda Sjödin,Aug 2019,,New Base Line,8b+,19-08-2019,Boulder,worked,2019-08-19,2019.0,8b+
Orrin Coley,10th Oct 2019,,New Base Line,8b+,10-10-2019,Boulder,worked,2019-10-10,2019.0,8b+
Piotr Schab,22nd Jul 2020,,New Base Line,8b+,22-07-2020,Boulder,worked,2020-07-22,2020.0,8b+
Marine Thevenet,Oct 2020,,New Base Line,8b+,19-10-2020,Boulder,worked,2020-10-19,2020.0,8b+
Sam Weir,8th May 2021,,New Base Line,8b+,08-05-2021,Boulder,worked,2021-08-05,2021.0,8b+
Katie Lamb,10th Sep 2021,,New Base Line,8b+,10-09-2021,Boulder,worked,2021-10-09,2021.0,8b+
Solly Kemball-Dorey,24th Apr 2022,,New Base Line,8b+,24-04-2022,Boulder,worked,2022-04-24,2022.0,8b+
Luis Gerhardt,May 2022,,New Base Line,8b+,19-05-2022,Boulder,worked,2022-05-19,2022.0,8b+
Michaela Kiersch,May 2022,,New Base Line,8b+,19-05-2022,Boulder,worked,2022-05-19,2022.0,8b+
Siara Fabbri,24th Nov 2022,,New Base Line,8b+,24-11-2022,Boulder,worked,2022-11-24,2022.0,8b+
Giacomo Raimondi,21st May 2023,,New Base Line,8b+,21-05-2023,Boulder,worked,2023-05-21,2023.0,8b+
Janja Garnbret,9th Oct 2023,,New Base Line,8b+,09-10-2023,Boulder,worked,2023-09-10,2023.0,8b+
Shinichiro Nomura,10th Nov 2024,,New Base Line,8b+,10-11-2024,Boulder,worked,2024-10-11,2024.0,8b+
Rocco Bochichio,,,New Base Line,8b+,,Boulder,worked,,,8b+
Matt Fultz,,,New Base Line,8b+,,Boulder,worked,,,8b+
Jean-Baptiste Tribout,Nov 1986,,To Bolt Or Not To Be,8b+,19-11-1986,Lead,worked,1986-11-19,1986.0,8b+
Scott Franklin,May 1987,,To Bolt Or Not To Be,8b+,19-05-1987,Lead,worked,1987-05-19,1987.0,8b+
Jerry Moffatt,May 1988,,To Bolt Or Not To Be,8b+,19-05-1988,Lead,worked,1988-05-19,1988.0,8b+
Bob Horan,Jun 1988,,To Bolt Or Not To Be,8b+,19-06-1988,Lead,worked,1988-06-19,1988.0,8b+
Ron Kauk,Jul 1988,,To Bolt Or Not To Be,8b+,19-07-1988,Lead,worked,1988-07-19,1988.0,8b+
Alan Watts,Apr 1989,,To Bolt Or Not To Be,8b+,19-04-1989,Lead,worked,1989-04-19,1989.0,8b+
Doug Englekirk,Nov 1991,,To Bolt Or Not To Be,8b+,19-11-1991,Lead,worked,1991-11-19,1991.0,8b+
Steve Schneider,Apr 1992,,To Bolt Or Not To Be,8b+,19-04-1992,Lead,worked,1992-04-19,1992.0,8b+
Chris Knuth,Jun 1995,,To Bolt Or Not To Be,8b+,19-06-1995,Lead,worked,1995-06-19,1995.0,8b+
Lynn Hill,1998,,To Bolt Or Not To Be,8b+,19-11-1998,Lead,worked,1998-11-19,1998.0,8b+
Tommy Caldwell,Apr 1998,,To Bolt Or Not To Be,8b+,19-04-1998,Lead,worked,1998-04-19,1998.0,8b+
Chris Sharma,Apr 1998,,To Bolt Or Not To Be,8b+,19-04-1998,Lead,worked,1998-04-19,1998.0,8b+
Beth Rodden,May 1998,,To Bolt Or Not To Be,8b+,19-05-1998,Lead,worked,1998-05-19,1998.0,8b+
Dave Graham,1st Apr 2000,,To Bolt Or Not To Be,8b+,01-04-2000,Lead,worked,2000-01-04,2000.0,8b+
Steve McClure,22nd Oct 2000,,To Bolt Or Not To Be,8b+,22-10-2000,Lead,worked,2000-10-22,2000.0,8b+
Ian Caldwell,Apr 2003,,To Bolt Or Not To Be,8b+,19-04-2003,Lead,worked,2003-04-19,2003.0,8b+
Mark Anderson,Nov 2008,,To Bolt Or Not To Be,8b+,19-11-2008,Lead,worked,2008-11-19,2008.0,8b+
Jonathan Siegrest,14th May 2010,,To Bolt Or Not To Be,8b+,14-05-2010,Lead,worked,2010-05-14,2010.0,8b+
Ryan Palo,29th Jan 2011,,To Bolt Or Not To Be,8b+,29-01-2011,Lead,worked,2011-01-29,2011.0,8b+
Mike Williams,10th Jun 2012,,To Bolt Or Not To Be,8b+,10-06-2012,Lead,worked,2012-10-06,2012.0,8b+
Drew Ruana,Apr 2013,,To Bolt Or Not To Be,8b+,19-04-2013,Lead,worked,2013-04-19,2013.0,8b+
Peder Groseth,29th Dec 2013,,To Bolt Or Not To Be,8b+,29-12-2013,Lead,worked,2013-12-29,2013.0,8b+
Ted Kingsnorth,25th Mar 2014,,To Bolt Or Not To Be,8b+,25-03-2014,Lead,worked,2014-03-25,2014.0,8b+
Mike Doyle,Feb 2015,,To Bolt Or Not To Be,8b+,19-02-2015,Lead,worked,2015-02-19,2015.0,8b+
Nina Caprez,Nov 2017,,To Bolt Or Not To Be,8b+,19-11-2017,Lead,worked,2017-11-19,2017.0,8b+
Jaszna Hodzic,Mar 2018,,To Bolt Or Not To Be,8b+,19-03-2018,Lead,worked,2018-03-19,2018.0,8b+
Sonnie Trotter,Nov 2018,,To Bolt Or Not To Be,8b+,19-11-2018,Lead,worked,2018-11-19,2018.0,8b+
Anna Hazlett,Nov 2023,,To Bolt Or Not To Be,8b+,19-11-2023,Lead,worked,2023-11-19,2023.0,8b+
Paige Classen,,,To Bolt Or Not To Be,8b+,,Lead,worked,,,8b+
Wolfgang Güllich,14th Sep 1991,,Action Directe,9a,14-09-1991,Lead,worked,1991-09-14,1991.0,9a
Alex Adler,9th Sep 1995,,Action Directe,9a,09-09-1995,Lead,worked,1995-09-09,1995.0,9a
Iker Pou,7th Jun 2000,,Action Directe,9a,07-06-2000,Lead,worked,2000-07-06,2000.0,9a
Dave Graham,21st May 2001,,Action Directe,9a,21-05-2001,Lead,worked,2001-05-21,2001.0,9a
Christian Bindhammer,14th May 2003,,Action Directe,9a,14-05-2003,Lead,worked,2003-05-14,2003.0,9a
Richard Simpson,13th Oct 2005,,Action Directe,9a,13-10-2005,Lead,worked,2005-10-13,2005.0,9a
Dai Koyamada,15th Oct 2005,,Action Directe,9a,15-10-2005,Lead,worked,2005-10-15,2005.0,9a
Markus Bock,Between 15th Oct 2005 and 23rd Oct 2005,,Action Directe,9a,,Lead,worked,,,9a
Kilian Fischhuber,26th Sep 2006,,Action Directe,9a,26-09-2006,Lead,worked,2006-09-26,2006.0,9a
Patxi Usobiaga,24th Oct 2008,,Action Directe,9a,24-10-2008,Lead,worked,2008-10-24,2008.0,9a
Gabriele Moroni,17th Apr 2010,,Action Directe,9a,17-04-2010,Lead,worked,2010-04-17,2010.0,9a
Jan Hojer,22nd May 2010,,Action Directe,9a,22-05-2010,Lead,worked,2010-05-22,2010.0,9a
Piotr Savack,23rd May 2010,,Action Directe,9a,23-05-2010,Lead,worked,2010-05-23,2010.0,9a
Adam Pustelnik,10th Oct 2010,,Action Directe,9a,10-10-2010,Lead,worked,2010-10-10,2010.0,9a
Felix Knaub,Oct 2011,,Action Directe,9a,19-10-2011,Lead,worked,2011-10-19,2011.0,9a
Rustam Gelmanov,26th Mar 2012,,Action Directe,9a,26-03-2012,Lead,worked,2012-03-26,2012.0,9a
Alex Megos,3rd May 2014,,Action Directe,9a,03-05-2014,Lead,worked,2014-03-05,2014.0,9a
Stefano Carnati,14th Jun 2016,,Action Directe,9a,14-06-2016,Lead,worked,2016-06-14,2016.0,9a
David Firnenburg,29th Oct 2016,,Action Directe,9a,29-10-2016,Lead,worked,2016-10-29,2016.0,9a
Stephan Vogt,4th Apr 2017,,Action Directe,9a,04-04-2017,Lead,worked,2017-04-04,2017.0,9a
Mélissa Le Nevé,21st May 2020,,Action Directe,9a,21-05-2020,Lead,worked,2020-05-21,2020.0,9a
Buster Martin,4th Oct 2022,,Action Directe,9a,04-10-2022,Lead,worked,2022-04-10,2022.0,9a
Dylan Chuat,21st Apr 2023,,Action Directe,9a,21-04-2023,Lead,worked,2023-04-21,2023.0,9a
Moritz Welt,13th Oct 2023,,Action Directe,9a,13-10-2023,Lead,worked,2023-10-13,2023.0,9a
Stefano Ghisolfi,Nov 2023,,Action Directe,9a,19-11-2023,Lead,worked,2023-11-19,2023.0,9a
Michał Korban,25th Sep 2024,,Action Directe,9a,25-09-2024,Lead,worked,2024-09-25,2024.0,9a
Nico Pelorson,Oct 2024,,Action Directe,9a,19-10-2024,Lead,worked,2024-10-19,2024.0,9a
Steve McClure,Jul 1998,,Mecca Extension,8c,19-07-1998,Lead,worked,1998-07-19,1998.0,8c
Chris Cubitt,Between 1st Jan 1998 and 1st Jan 2004,,Mecca Extension,8c,,Lead,worked,,,8c
Paul Smitton,12th Nov 2007,,Mecca Extension,8c,12-11-2007,Lead,worked,2007-12-11,2007.0,8c
Stuart Littlefair,31st Aug 2009,,Mecca Extension,8c,31-08-2009,Lead,worked,2009-08-31,2009.0,8c
Jon Clark,11th Oct 2010,,Mecca Extension,8c,11-10-2010,Lead,worked,2010-11-10,2010.0,8c
Ryan Pasquill,May 2011,,Mecca Extension,8c,19-05-2011,Lead,worked,2011-05-19,2011.0,8c
Alex Barrows,6th Apr 2012,,Mecca Extension,8c,06-04-2012,Lead,worked,2012-06-04,2012.0,8c
Neil Mawson,22nd Aug 2012,,Mecca Extension,8c,22-08-2012,Lead,worked,2012-08-22,2012.0,8c
Bob Hickish,18th Sep 2012,,Mecca Extension,8c,18-09-2012,Lead,worked,2012-09-18,2012.0,8c
Matt Pickles,19th May 2013,,Mecca Extension,8c,19-05-2013,Lead,worked,2013-05-19,2013.0,8c
Matt Donnelly,Jun 2013,,Mecca Extension,8c,19-06-2013,Lead,worked,2013-06-19,2013.0,8c
Ted Kingsnorth,16th Jun 2013,,Mecca Extension,8c,16-06-2013,Lead,worked,2013-06-16,2013.0,8c
Ben Moon,15th Oct 2013,,Mecca Extension,8c,15-10-2013,Lead,worked,2013-10-15,2013.0,8c
Ethan Walker,17th Oct 2013,,Mecca Extension,8c,17-10-2013,Lead,worked,2013-10-17,2013.0,8c
Mina Leslie-Wujastyk,14th Oct 2014,,Mecca Extension,8c,14-10-2014,Lead,worked,2014-10-14,2014.0,8c
Yann Genoux,14th May 2016,,Mecca Extension,8c,14-05-2016,Lead,worked,2016-05-14,2016.0,8c
Ollie Torr,2018,,Mecca Extension,8c,19-11-2018,Lead,worked,2018-11-19,2018.0,8c
Edd Mowbray,2018,,Mecca Extension,8c,19-11-2018,Lead,worked,2018-11-19,2018.0,8c
Mathew Wright,22nd Sep 2019,,Mecca Extension,8c,22-09-2019,Lead,worked,2019-09-22,2019.0,8c
Nathan Lee,12th Sep 2020,,Mecca Extension,8c,12-09-2020,Lead,worked,2020-12-09,2020.0,8c
Matt Broadhurst,1st Oct 2020,,Mecca Extension,8c,01-10-2020,Lead,worked,2020-01-10,2020.0,8c
Tom Newberry,13th Nov 2020,,Mecca Extension,8c,13-11-2020,Lead,worked,2020-11-13,2020.0,8c
Oliver Hill,16th Apr 2021,,Mecca Extension,8c,16-04-2021,Lead,worked,2021-04-16,2021.0,8c
Ben Preston,May 2021,,Mecca Extension,8c,19-05-2021,Lead,worked,2021-05-19,2021.0,8c
Felix Wilkins,10th Oct 2021,,Mecca Extension,8c,10-10-2021,Lead,worked,2021-10-10,2021.0,8c
Rhoslyn Frugtniet,11th Oct 2021,,Mecca Extension,8c,11-10-2021,Lead,worked,2021-11-10,2021.0,8c
Alex Norton,3rd May 2024,,Mecca Extension,8c,03-05-2024,Lead,worked,2024-03-05,2024.0,8c
Jacob Amos,4th Jun 2024,,Mecca Extension,8c,04-06-2024,Lead,worked,2024-04-06,2024.0,8c
Char Williams,,,Mecca Extension,8c,,Lead,worked,,,8c
Daniel Woods,2004,,Echale,8b+,19-11-2004,Boulder,worked,2004-11-19,2004.0,8b+
Phil Schaal,Mar 2011,,Echale,8b+,19-03-2011,Boulder,worked,2011-03-19,2011.0,8b+
Yves Gravelle,May 2012,,Echale,8b+,19-05-2012,Boulder,worked,2012-05-19,2012.0,8b+
Ryan Sewell,1st Dec 2017,,Echale,8b+,01-12-2017,Boulder,worked,2017-01-12,2017.0,8b+
Keenan Takahashi,28th Jun 2019,,Echale,8b+,28-06-2019,Boulder,worked,2019-06-28,2019.0,8b+
Simon Hibbeler,2020,,Echale,8b+,19-11-2020,Boulder,worked,2020-11-19,2020.0,8b+
Chase Martinez,2nd Feb 2020,,Echale,8b+,02-02-2020,Boulder,worked,2020-02-02,2020.0,8b+
Colin Duffy,24th Nov 2021,,Echale,8b+,24-11-2021,Boulder,worked,2021-11-24,2021.0,8b+
Jonah Kreitzberg,19th Nov 2023,8B,Echale,8b+,19-11-2023,Boulder,worked,2023-11-19,2023.0,8b+
Logan Tetu,6th Jan 2024,,Echale,8b+,06-01-2024,Boulder,worked,2024-06-01,2024.0,8b+
Jack Martinus,17th Nov 2024,,Echale,8b+,17-11-2024,Boulder,worked,2024-11-17,2024.0,8b+
Ryuichi Murai,,,Echale,8b+,,Boulder,worked,,,8b+
Martin Stráník,,,Echale,8b+,,Boulder,worked,,,8b+
Toshi Takeuchi,,,Echale,8b+,,Boulder,worked,,,8b+
Paul Robinson,,,Echale,8b+,,Boulder,worked,,,8b+
Jimmy Webb,,,Echale,8b+,,Boulder,worked,,,8b+
Everett Sloane,,,Echale,8b+,,Boulder,worked,,,8b+
Noah Wheeler,,,Echale,8b+,,Boulder,worked,,,8b+
Max Smerek,,,Echale,8b+,,Boulder,worked,,,8b+
Liam Andrews-Bancroft,,,Echale,8b+,,Boulder,worked,,,8b+
Zach Galla,,,Echale,8b+,,Boulder,worked,,,8b+
Sam Weir,,,Echale,8b+,,Boulder,worked,,,8b+
Rowland Chen,,,Echale,8b+,,Boulder,worked,,,8b+
Jake Kim,,,Echale,8b+,,Boulder,worked,,,8b+
Chris Chen,,,Echale,8b+,,Boulder,worked,,,8b+
Jess Walker,,,Echale,8b+,,Boulder,worked,,,8b+
Rob D'Anastasio,,,Echale,8b+,,Boulder,worked,,,8b+
Jack Martinus,,,Echale,8b+,,Boulder,worked,,,8b+
Paul Robinson,25th Nov 2010,8C (soft),Dreamtime,8c,25-11-2010,Boulder,worked,2010-11-25,2010.0,8c
Fabian Buhl,13th Mar 2013,8C,Dreamtime,8c,13-03-2013,Boulder,worked,2013-03-13,2013.0,8c
Giuliano Cameroni,6th Jan 2015,,Dreamtime,8c,06-01-2015,Boulder,worked,2015-06-01,2015.0,8c
