athlete,country,event,round,discipline,boulder,top,zone
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,6,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Jan-Luca POSCH,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,1
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,2
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,2,1
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,2,1
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,2
Sohta AMAGASA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,2
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,3,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,1
Sorato ANRAKU,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,4,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,,4
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Colin DUFFY,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Yannick FLOHÉ,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,2
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,2
Jakob SCHUBERT,AUT,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,2
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,5,5
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,1
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Tomoa NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,1
Meichi NARASAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,3,3
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,5
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Toby ROBERTS,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,5,4
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,2,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,4,1
Manuel CORNU,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,4
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,,7
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,4,1
Yoshiyuki OGATA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,4,4
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,2
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Slav KIROV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,3
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,2
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,2
Benjamin VARGAS,CHI,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,3,2
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,6,4
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,1
Thomas LEMAGNER,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,4,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,1
Oscar BAUDRAND,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,5,5
Timotej ROMŠAK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Timotej ROMŠAK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,1
Timotej ROMŠAK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,3,1
Timotej ROMŠAK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,1
Timotej ROMŠAK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,3,3
Dayan AKHTAR,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,,3
Dayan AKHTAR,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,2
Dayan AKHTAR,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,3,2
Dayan AKHTAR,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,4,4
Dayan AKHTAR,GBR,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,1,1
Benjamin HANNA,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Benjamin HANNA,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Benjamin HANNA,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Benjamin HANNA,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,1
Benjamin HANNA,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Nikolay RUSEV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,9,7
Nikolay RUSEV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,2
Nikolay RUSEV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,1
Nikolay RUSEV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,1
Nikolay RUSEV,BUL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,1,1
Yuji FUJIWAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,4,4
Yuji FUJIWAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Yuji FUJIWAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,2,2
Yuji FUJIWAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,1
Yuji FUJIWAKI,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,4
Campbell HARRISON,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,4,2
Campbell HARRISON,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,1
Campbell HARRISON,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,2,2
Campbell HARRISON,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,1
Campbell HARRISON,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,3
Dylan PARKS,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,6,1
Dylan PARKS,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,4
Dylan PARKS,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,1
Dylan PARKS,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,3
Dylan PARKS,AUS,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,4,2
Kodai YAMADA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Kodai YAMADA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,2,1
Kodai YAMADA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,1
Kodai YAMADA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,1
Kodai YAMADA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Taiga SAKAMOTO,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,8,5
Taiga SAKAMOTO,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,3,2
Taiga SAKAMOTO,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,2,1
Taiga SAKAMOTO,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,2
Taiga SAKAMOTO,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,3
Gregor VEZONIK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Gregor VEZONIK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Gregor VEZONIK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Gregor VEZONIK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,1
Gregor VEZONIK,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Thorben Perry BLOEM,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,2
Thorben Perry BLOEM,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,
Thorben Perry BLOEM,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,1
Thorben Perry BLOEM,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,1
Thorben Perry BLOEM,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,2,1
Max KLEESATTEL,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Max KLEESATTEL,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Max KLEESATTEL,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,3,3
Max KLEESATTEL,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,1
Max KLEESATTEL,GER,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Samuel RICHARD,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,2
Samuel RICHARD,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,
Samuel RICHARD,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Samuel RICHARD,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,4,2
Samuel RICHARD,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Dillon COUNTRYMAN,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,,3
Dillon COUNTRYMAN,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,3,2
Dillon COUNTRYMAN,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,3,2
Dillon COUNTRYMAN,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,2
Dillon COUNTRYMAN,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Satone YOSHIDA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,2,2
Satone YOSHIDA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,2,1
Satone YOSHIDA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Satone YOSHIDA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,3
Satone YOSHIDA,JPN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Guy MCNAMEE,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,3,1
Guy MCNAMEE,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Guy MCNAMEE,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Guy MCNAMEE,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,5
Guy MCNAMEE,CAN,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Adrien LEMAIRE,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Adrien LEMAIRE,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,1
Adrien LEMAIRE,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,1
Adrien LEMAIRE,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,1,1
Adrien LEMAIRE,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Ardch INTRACHUPONGSE,THA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,1,1
Ardch INTRACHUPONGSE,THA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,5
Ardch INTRACHUPONGSE,THA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,1
Ardch INTRACHUPONGSE,THA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,3,1
Ardch INTRACHUPONGSE,THA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,1
Matic KOTAR,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,4,1
Matic KOTAR,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Matic KOTAR,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Matic KOTAR,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,1
Matic KOTAR,SLO,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Kito MARTINI,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,5,5
Kito MARTINI,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,1,1
Kito MARTINI,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,1,1
Kito MARTINI,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,,2
Kito MARTINI,FRA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,
Adam SHAHAR,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,3,3
Adam SHAHAR,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,2
Adam SHAHAR,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-3,,1
Adam SHAHAR,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-4,2,2
Adam SHAHAR,USA,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-5,,7
Simon LORENZI,BEL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-1,,2
Simon LORENZI,BEL,IFSC World Cup Salt Lake City 2024,Qualification,Boulder • Men,IFSC World Cup Salt Lake City 2024-Qualification-2,,4
