id,name,gear_style,country,orientation,region,crag,grade,grade_clean,grade_system
4650154410,New Wave Hooker,,Austria,Ost,Wildon,Höhle,{FB} 7A,7A,FB
4650154323,Thekentraverse,,Austria,Ost,Wildon,Höhle,{FB} 7A,7A,FB
4650154236,Linke Traverse,,Austria,Ost,Wildon,Höhle,{FB} 7A,7A,FB
4650154149,Helicopter-Dyno,,Austria,Ost,Wildon,Höhle,{FB} 7A+,7A+,FB
4650154062,Techno macht's möglich,Boulder,Austria,Ost,Wildon,Höhle,{FB} 7B,7B,FB
4650153975,Techno macht's möglich (extension),Boulder,Austria,Ost,Wildon,Höhle,{FB} 7C,7C,FB
4650153888,Rechter Boulder,Boulder,Austria,Ost,Wildon,Höhle,{FB} 7C,7C,FB
4650153801,Black Betty,Boulder,Austria,Ost,Wildon,Höhle,{FB} 8A,8A,FB
4586978976,Loch,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:7,7,UIAA
4586978895,Knopp vorbei,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:6+,6+,UIAA
4586978814,Trau Di,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:6,6,UIAA
7594668687,Blaue Sophie,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:6+,6+,UIAA
4586978733,Staubige,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:6-,6-,UIAA
7594678233,Zwilling,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:5+,5+,UIAA
4586978652,Glocke,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:5,5,UIAA
4586978571,Triangl,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:6,6,UIAA
4586978490,Kleine Glocke,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:5,5,UIAA
4586978409,Kraxlstub'n 9,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:2 - 3,2,UIAA
4586978328,Kraxlstub'n 8,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:2 - 3,2,UIAA
4586978247,Kraxlstub'n 7,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:2 - 3,2,UIAA
4586978166,Kraxlstub'n 6,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:2 - 3,2,UIAA
4586978085,Kraxlstub'n 5,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:2 - 3,2,UIAA
4586978004,Kraxlstub'n 4,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:2 - 3,2,UIAA
4586977923,Naserl,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:5+,5+,UIAA
4586977842,Pinkes Helferlein,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:5,5,UIAA
7594658835,Blasse,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:5,5,UIAA
4586977761,Plottn,Sport,Austria,Ost,Randgebirge östl. d. Mur,Klettergarten Markt Neuhodis,UIAA:6+,6+,UIAA
10600362294,39,Sport,Austria,Ost,Riegersburg,Burgfelsen Riegersburg,UIAA:6+,6+,UIAA
10600313595,34,Sport,Austria,Ost,Riegersburg,Burgfelsen Riegersburg,UIAA:6+,6+,UIAA
10600319928,31,Sport,Austria,Ost,Riegersburg,Burgfelsen Riegersburg,UIAA:5+,5+,UIAA
10600315611,29,Sport,Austria,Ost,Riegersburg,Burgfelsen Riegersburg,UIAA:5+,5+,UIAA
